sample	segments	clonality	ploidy	purity	homozygousLoss	use	notes
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C08_256064	325	0.123	3.044	0.95	0.118	FALSE	Oversegmentation
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C09_256066	149	0.227	3.595	0.95	0.062	FALSE	High prop. Non-integer
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C10_256068	29	0.022	2.053	1	0	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C11_256070	101	0.177	1.911	0.99	0.018	FALSE	High prop. Non-integer
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D01_256074	88	0.027	1.777	0.97	0.218	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D02_256076	137	0.081	3.301	0.95	0.001	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D03_256078	89	0.037	1.945	0.99	0.022	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D04_256080	99	0.081	3.182	1	0.011	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D05_256082	82	0.042	1.989	1	0.048	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D06_256084	124	0.259	4.059	0.96	0.097	FALSE	High prop. Non-integer
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D07_256086	133	0.088	1.974	0.99	0.25	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D08_256088	113	0.22	2.037	1	0.046	FALSE	High prop. Non-integer; non-interleaving copy states
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D09_256090	168	0.082	2.663	0.95	0.41	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D10_256092	91	0.055	2.643	0.95	0.016	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D11_256094	88	0.095	3.702	1	0.001	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D12_256096	152	0.093	4.327	0.97	NA	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E01_256098	150	0.104	4.03	0.95	0.007	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E02_256100	90	0.189	4.495	1	0.006	FALSE	High prop. Non-integer
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E03_256102	169	0.257	2.438	0.95	NA	FALSE	High prop. Non-integer
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E05_256106	75	0.041	2.035	0.97	0.032	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E06_256108	72	0.054	2.678	0.95	0.013	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E07_256110	71	0.12	1.684	0.95	0.027	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E08_256112	51	0.141	1.946	1	NA	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E09_256114	148	0.161	3.192	0.95	0.038	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E10_256116	50	0.019	2.024	0.99	0.011	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E11_256118	76	0.094	2.616	0.97	0.022	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E12_256120	85	0.151	3.702	0.99	0.012	FALSE	High prop. Non-integer
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F01_256122	82	0.103	2.851	0.97	0.147	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F02_256124	225	0.119	3.886	0.95	NA	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F03_256126	142	0.211	2.829	1	0.069	FALSE	High prop. Non-integer
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F04_256128	64	0.21	4.186	1	0.041	FALSE	High prop. Non-integer
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F05_256130	119	0.201	4.303	1	0.036	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F06_256132	104	0.133	4.216	1	NA	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F07_256134	244	0.067	3.321	1	0.026	TRUE	Shatterd chrom. 5
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F08_256136	150	0.058	3.706	0.96	0.119	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F09_256138	94	0.159	4.577	0.95	0	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F10_256140	64	0.117	2.847	1	0.006	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F11_256142	69	0.043	2.069	1	0.007	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F12_256144	130	0.053	3.017	0.99	0.011	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G01_256146	131	0.096	2.511	0.97	0.009	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G02_256148	134	0.095	2.945	0.99	0.082	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G04_256152	173	0.087	3.249	1	0.095	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G05_256154	69	0.101	4.001	0.99	0.001	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G06_256156	108	0.173	3.035	1	0.009	TRUE	High heterogeneity
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G07_256158	73	0.06	3.451	0.95	0.007	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G09_256162	203	0.12	3.961	0.95	NA	TRUE	NA
AsPC-1	74	0.108	2.414	0.95	0.016	TRUE	NA
ATN-1	145	0.184	2.021	1	0.062	TRUE	NA
AU565	297	0.237	5.856	0.96	0.148	FALSE	High prop. Non-integer
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A01_542800	126	0.244	4.035	0.98	0.009	FALSE	High prop. Non-integer
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A04_542844	32	0.034	1.969	1	0.001	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A05_542874	80	0.195	5.019	0.95	0.021	TRUE	Refit at higher ploidy; Original ploidy 1.9; manual minimum 2.8; new ploidy 4.91
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A07_542942	138	0.1	2	1	0.013	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A08_542868	146	0.125	2.856	1	NA	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A09_542966	79	0.06	2.04	1	0.268	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A12_542804	72	0.1	1.997	1	NA	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B01_542936	41	0.041	1.922	1	0.016	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B02_542866	85	0.114	3.044	1	NA	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B04_542818	187	0.096	2.027	0.95	0.053	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B09_542810	93	0.115	3.196	1	0.001	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B10_542972	199	0.222	4.022	1	0	FALSE	Oversegmentation; High prop. Non-integer
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B11_542808	264	0.24	4.189	0.96	0.055	FALSE	High prop. non-integer; no fit agreement
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C01_542960	146	0.208	4.232	1	0.005	FALSE	High prop. non-integer; no fit agreement
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C02_542918	151	0.249	3.934	0.95	0.219	FALSE	High prop. Non-integer
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C03_542962	87	0.12	1.871	0.95	NA	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C04_542930	38	0.043	2.043	1	0.006	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C09_542834	123	0.132	1.962	1	0.096	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C10_542954	120	0.105	2.52	1	0.002	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C11_542898	55	0.113	2.148	1	0.005	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D01_542858	101	0.07	2.096	1	0.012	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D03_542924	178	0.072	1.832	1	0.159	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D04_542788	125	0.13	2.521	0.95	0.026	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D05_542840	33	0.042	1.965	1	0.003	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D06_542944	151	0.092	1.857	1	0.037	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D07_542826	78	0.098	2.739	1	0.024	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D08_542852	95	0.075	2.151	1	0.031	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D09_542814	104	0.073	1.843	1	0.046	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D10_542812	59	0.071	2.146	1	0.01	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D11_542974	160	0.153	2.33	1	0.018	TRUE	Shatterd chrom. 13
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D12_542920	104	0.093	1.982	1	0.018	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E01_542794	137	0.134	2.468	0.98	0.057	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E02_542828	204	0.167	3.313	1	0.015	TRUE	Some oversegmentation
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E03_542970	159	NA	NA	0.95	NA	TRUE	Some oversegmentation
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E04_542932	49	0.037	1.971	0.96	0.012	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E05_542914	82	0.081	1.965	1	NA	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E07_542878	163	0.186	2.25	0.96	0.058	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E08_542902	132	0.194	4.278	1	0.063	FALSE	High prop. non-integer; no fit agreement
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E10_542926	80	0.107	3.272	0.95	0.004	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E11_542884	72	0.08	1.982	1	0.094	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E12_542820	158	0.158	2.824	0.95	0.028	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F01_542968	191	0.101	2.327	0.95	0.022	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F02_542906	130	0.105	2.74	0.98	0.001	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F04_542948	275	0.07	2.154	0.95	NA	TRUE	Shattered chrom. 1 and 2
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F05_542896	158	0.14	2.483	0.99	0.004	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F06_542882	138	0.206	5.672	0.95	0	FALSE	High prop. Non-integer
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F08_542856	185	0.179	3.795	0.95	0.211	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F09_542934	95	0.171	3.863	0.95	NA	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F10_542910	139	0.14	3.448	0.96	0.038	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F11_542836	76	0.077	2.04	1	0.01	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G02_542842	210	0.204	4.625	1	0.05	FALSE	High prop. non-integer; no fit agreement
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G03_542786	162	0.149	2.7	0.95	0.009	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G04_542916	115	0.132	2.076	1	0.058	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G07_542862	175	0.065	1.909	0.96	0.088	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G08_542792	136	0.1	1.772	0.95	0.106	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G09_542892	155	0.129	3.377	0.95	0.113	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G10_542940	118	0.182	3.188	1	0.019	FALSE	High prop. non-integer; no fit agreement
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G12_542958	97	0.166	2.76	0.95	0.084	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_H01_542876	41	0.066	1.89	1	0.004	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_H02_542848	210	0.105	1.794	1	NA	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_H05_542822	79	0.109	2.035	1	0.002	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_H08_542886	121	0.213	2.28	1	0.013	FALSE	High prop. Non-integer
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_H09_542854	172	0.085	1.805	1	0.102	TRUE	NA
AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_H10_542870	229	0.117	1.888	1	0.18	TRUE	NA
BALL-1	135	NA	NA	1	NA	TRUE	NA
BB30-HNC	62	0.084	2.011	0.95	0.007	TRUE	NA
BB49-HNC	51	0.049	2.225	0.95	0.011	TRUE	NA
BB65-RCC	84	0.151	1.679	0.95	0.092	TRUE	NA
BC-1	62	0.047	2.22	1	0.027	TRUE	NA
BC-3	88	0.12	2.176	0.95	0.051	TRUE	NA
BCPAP	73	0.071	3.034	0.97	0.003	TRUE	NA
BE-13	81	0.084	3.532	0.95	0.033	TRUE	NA
Becker	240	0.156	2.743	0.95	0.014	FALSE	Oversegmentation
BEN	258	0.194	3.914	1	0.063	FALSE	High prop. non-integer; no fit agreement
BFTC-905	154	0.102	2.692	0.95	0.121	TRUE	NA
BFTC-909	118	0.241	2.874	0.95	0.03	FALSE	High prop. Non-integer
BHY	147	0.235	2.743	0.95	0.095	FALSE	High prop. Non-integer
BICR10	162	0.108	2.006	1	0.092	TRUE	NA
BICR22	96	0.262	2.238	1	0.014	FALSE	High prop. Non-integer
BICR31	270	0.157	2.121	0.95	0.044	TRUE	NA
BICR78	153	0.171	2.98	0.98	0.31	TRUE	NA
BL-41	92	0.054	2.076	1	0.007	TRUE	NA
BONNA-12	37	0.05	4.103	0.98	0.002	FALSE	Non-interleaving copy states
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A01_464622	72	0.046	2.13	1	0.011	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A02_464620	59	0.027	1.931	1	0.013	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A03_464626	314	0.152	2.935	0.95	0.688	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A04_464624	227	0.116	1.665	1	0.249	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A05_464614	220	0.096	2.005	1	0.016	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A06_464612	297	0.188	3.717	1	0.014	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A07_464618	178	0.118	2.79	0.99	0.196	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A08_464616	225	0.199	3.946	1	0.004	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A11_464610	67	0.226	4.86	0.95	0.004	FALSE	Non-interleaving copy states; No fit correlation
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B02_464602	69	0.077	2.049	1	0.006	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B04_464598	150	0.134	2.47	0.99	0	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B06_464594	101	0.249	1.714	0.95	0.006	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B07_464588	203	0.247	5.482	1	0.144	FALSE	High prop. non-integer; no fit agreement
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B09_464584	103	0.223	4.09	0.97	0.033	FALSE	High prop. Non-integer
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B10_464586	105	0.205	4.256	1	0.006	FALSE	High prop. Non-integer
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B11_464580	157	0.074	1.927	1	0.038	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B12_464582	126	0.255	3.158	0.95	0.001	FALSE	High prop. Non-integer
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C02_464578	360	0.081	2.418	0.95	NA	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C04_464574	102	0.171	3.338	1	0.008	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C05_464570	180	0.097	2	1	0.027	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C06_464568	195	0.095	2.916	1	0.025	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C07_464566	74	0.046	1.995	1	0.027	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C08_464564	101	0.167	3.042	1	0.003	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C09_464562	47	0.068	2.173	1	0	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C10_464560	67	0.056	2.192	1	0.024	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C11_464558	155	0.223	4.208	1	0.074	FALSE	Non-interleaving copy states; No fit correlation
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C12_464556	169	0.251	3.884	0.95	0.212	FALSE	Non-interleaving copy states; No fit correlation
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D01_464554	47	0.065	2.011	1	0.032	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D03_464550	156	0.038	1.883	0.98	0.036	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D04_464548	232	0.175	5.395	0.97	NA	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D05_464546	138	0.096	2.899	1	0.157	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D09_464716	226	0.198	3.002	1	0.001	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D10_464718	101	0.197	3.778	0.95	0.007	FALSE	High prop. Non-integer
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D11_464720	316	0.067	1.862	1	0.279	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E01_464724	105	0.187	3.076	1	0	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E02_464726	201	0.081	2.31	0.97	0.01	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E04_464730	40	0.038	1.971	1	0.028	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E05_464700	180	0.115	1.852	1	0.031	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E06_464702	63	0.124	2.787	0.96	0.005	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E07_464704	221	0.232	5.244	1	0.022	FALSE	Non-interleaving copy states; No fit correlation; oversegmentation
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E08_464706	221	0.196	3.68	1	0.003	FALSE	Non-interleaving copy states; No fit correlation; oversegmentation
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E10_464710	211	0.134	3.902	1	0	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F01_464686	43	0.024	1.945	1	0.002	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F02_464684	63	0.074	2.478	1	0.008	TRUE	Refit at lower ploidy; Original ploidy 4.8; manual maximum 3.8; new ploidy 2.38
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F03_464690	239	0.055	2.894	0.95	NA	TRUE	NA
